"customer_id","full_name","account_creation_date","month_since_signup","total_orders","total_spent","avg_order_value"
1,"Abdullah","2025-10-12",0,4,6381.00,1595.25
1,"Abdullah","2025-10-12",1,2,2144.00,1072.00
1,"Abdullah","2025-10-12",2,2,2497.00,1248.50
2,"Ayon","2025-09-26",0,1,592.00,592.00
2,"Ayon","2025-09-26",1,2,4448.00,2224.00
2,"Ayon","2025-09-26",2,6,7856.00,1309.33
3,"Taushif","2025-09-24",0,4,3588.00,897.00
3,"Taushif","2025-09-24",1,4,8474.00,2118.50
3,"Taushif","2025-09-24",2,5,6225.00,1245.00
3,"Taushif","2025-09-24",3,4,11076.00,2769.00
4,"Saiful","2025-09-16",0,1,2377.00,2377.00
4,"Saiful","2025-09-16",1,6,13188.00,2198.00
4,"Saiful","2025-09-16",2,3,3479.00,1159.67
4,"Saiful","2025-09-16",3,1,3100.00,3100.00
5,"Samia","2025-09-28",0,2,4728.00,2364.00
5,"Samia","2025-09-28",1,5,8779.00,1755.80
5,"Samia","2025-09-28",2,3,6596.00,2198.67
6,"Shithi","2025-09-26",0,2,6365.00,3182.50
6,"Shithi","2025-09-26",1,3,3960.00,1320.00
6,"Shithi","2025-09-26",2,5,6007.00,1201.40
6,"Shithi","2025-09-26",3,1,2340.00,2340.00
7,"Rumana",NULL,NULL,10,23411.00,2341.10
8,"Lamisa","2025-09-18",0,3,3004.00,1001.33
8,"Lamisa","2025-09-18",1,8,13194.00,1649.25
8,"Lamisa","2025-09-18",3,1,664.00,664.00
9,"Anika","2025-09-22",0,3,3387.00,1129.00
9,"Anika","2025-09-22",1,4,5958.00,1489.50
9,"Anika","2025-09-22",2,1,1185.00,1185.00
9,"Anika","2025-09-22",3,2,3335.00,1667.50
10,"Irtaza","2025-09-17",0,1,1430.00,1430.00
10,"Irtaza","2025-09-17",1,3,7049.00,2349.67
10,"Irtaza","2025-09-17",2,7,11779.00,1682.71
10,"Irtaza","2025-09-17",3,1,462.00,462.00
11,"Moumita","2025-09-29",0,1,960.00,960.00
11,"Moumita","2025-09-29",1,5,5848.00,1169.60
11,"Moumita","2025-09-29",2,7,11883.00,1697.57
11,"Moumita","2025-09-29",3,2,2698.00,1349.00
12,"Lamya","2025-09-21",0,3,5990.00,1996.67
12,"Lamya","2025-09-21",1,4,8356.00,2089.00
12,"Lamya","2025-09-21",2,1,324.00,324.00
13,"Samia","2025-09-21",0,1,2470.00,2470.00
13,"Samia","2025-09-21",1,4,8177.00,2044.25
13,"Samia","2025-09-21",2,3,3858.00,1286.00
13,"Samia","2025-09-21",3,3,3606.00,1202.00
14,"Kamal","2025-09-16",0,2,3980.00,1990.00
14,"Kamal","2025-09-16",1,6,9384.00,1564.00
14,"Kamal","2025-09-16",2,5,14897.00,2979.40
15,"Hasib","2025-09-28",0,1,1190.00,1190.00
15,"Hasib","2025-09-28",1,5,8667.00,1733.40
15,"Hasib","2025-09-28",2,2,2773.00,1386.50
16,"Heba","2025-09-19",0,1,2060.00,2060.00
16,"Heba","2025-09-19",1,3,6011.00,2003.67
16,"Heba","2025-09-19",2,3,3115.00,1038.33
17,"Zannat",NULL,NULL,7,10748.00,1535.43
