"customer_id","full_name","email"
2,"Ayon","ayon2@gmail.com"
5,"Samia","samia5@yahoo.com"
12,"Lamya","lamya12@gmail.com"
14,"Kamal","kamal14@yahoo.com"
15,"Hasib","hasib15@gmail.com"
16,"Heba","heba16@gmail.com"
17,"Zannat","zannat17@gmail.com"
21,"Mahjabin","mahjabin21@yahoo.com"
22,"Ehsan","ehsan22@gmail.com"
23,"Tanvir","tanvir23@gmail.com"
26,"Riya","riya26@gmail.com"
36,"Rakib","rakib36@yahoo.com"
47,"Sumaiya","sumaiya47@gmail.com"
65,"Afrin","afrin65@gmail.com"
66,"Rodela","rodela66@outlook.com"
84,"Farzana","farzana84@gmail.com"
99,"Mahmud","mahmud99@gmail.com"
